@uuid;enabled;statetype;state-policy;sequence;action;quick;interfacenot;interface;direction;ipprotocol;protocol;icmptype;icmp6type;source_net;source_not;source_port;destination_net;destination_not;destination_port;divert-to;gateway;replyto;disablereplyto;log;allowopts;nosync;nopfsync;statetimeout;udp-first;udp-multiple;udp-single;max-src-nodes;max-src-states;max-src-conn;max;max-src-conn-rate;max-src-conn-rates;overload;adaptivestart;adaptiveend;prio;set-prio;set-prio-low;tag;tagged;tcpflags1;tcpflags2;tcpflags_any;categories;sched;tos;shaper1;shaper2;description
6a3cd175-cc35-4d53-9614-35fef7f927c8;1;keep;;80;pass;1;0;opt1;in;inet;TCP;;;lan;0;;opt1;0;MGMT_PORTS;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;0;Free,Management;;;;;"Server Administration"
6cc0a862-66c1-4eff-8fdb-d67a2673f114;1;keep;;351;pass;1;0;opt2;in;inet;TCP;;;opt2;0;;opt1;0;WEB;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;0;Employees,Free;;;;;"Employees -> WEB"
702a351a-3afb-43a3-b324-756acf846247;1;keep;;451;block;1;0;opt2;in;inet;any;;;opt2;0;;lan;0;;;;;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;0;Blocked,Employees;;;;;"Employees X Management"
6d086404-935b-4567-a5e2-82bf8bf9438b;1;keep;;4;pass;1;0;wan;in;inet;TCP;;;wan;0;;WEB_SERVER;0;WEB;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;0;Free,WAN;;;;;"WAN -> WEB_SERVER"
e277cb42-eaad-4ae5-9f8b-53a9ab85aeae;1;keep;;5;block;1;0;wan;in;inet;any;;;wan;0;;any;0;;;;;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;0;Blocked,WAN;;;;;"WAN -> BLOCKED"
27db4502-7c65-4480-a02e-2b66089cf96e;1;keep;;55;pass;1;0;lan;in;inet;TCP/UDP;;;lan;0;;(self);0;WEB;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;0;Free,Management;;;;;"Admins -> OPNSense"
4d3fb5f7-5262-410a-baa7-2be2bd546b1b;1;keep;;92;pass;1;0;lan;in;inet;TCP/UDP;;;lan;0;;WEB_SERVER;0;WEB;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;0;Free,Management;;;;;"Admins -> Web Server"
4091bc2a-8fce-4db2-97fe-26eabf4eded3;1;keep;;98;pass;1;0;lan;in;inet;TCP/UDP;;;lan;0;;(self);0;domain;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;0;Free,Management;;;;;"Admins -> DNS"
7b5b71a7-8da6-461b-a7f9-a510b17f980b;1;keep;;101;pass;1;0;lan;in;inet;TCP/UDP;;;lan;0;;any;0;WEB;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;0;Free,Management;;;;;"Admin internet navigation"
3f0f6d04-e895-4ea7-aa90-94dccd3f1f76;1;keep;;201;block;1;0;lan;in;inet;any;;;lan;0;;any;0;;;;;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;0;Blocked,Management;;;;;"Admins block + log"
9b6c0c87-0e6e-4987-a63d-56b811d6633f;1;keep;;251;pass;1;0;opt2;in;inet;TCP/UDP;;;opt2;0;;(self);0;domain;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;0;Employees,Free;;;;;"Employees -> DNS"
30b87f86-fb26-46f3-8362-f628f981effb;1;keep;;301;pass;1;0;opt2;in;inet;TCP/UDP;;;opt2;0;;(self);0;ntp;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;0;Employees,Free;;;;;"Employees -> NTP"
01a226a1-998f-40b5-9322-f18aa105ca56;1;keep;;401;block;1;0;opt2;in;inet;TCP/UDP;;;opt2;0;;opt1;0;MGMT_PORTS;;;;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;0;Blocked,Employees;;;;;"Employees X Management Ports"
73015898-d1da-47ab-95e5-273b97fd07bf;1;keep;;753;pass;1;0;opt2;in;inet;TCP/UDP;;;opt2;0;;wan;0;WEB;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;0;Employees,Free;;;;;"Employees -> Internet"
dd5fa932-87c4-4ce3-9847-e81855f1404a;1;keep;;853;block;1;0;opt2;in;inet;any;;;opt2;0;;any;0;;;;;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;0;Blocked,Employees;;;;;"Employees block"
e2a27f99-69b3-4c87-8307-68a45234bc44;1;keep;;953;pass;1;0;opt1;in;inet;TCP/UDP;;;opt1;0;;(self);0;domain;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;0;DMZ,Free;;;;;"DMZ -> DNS"
e88e89c3-4d67-4b7d-9292-5232210bb623;1;keep;;1053;pass;1;0;opt1;in;inet;TCP/UDP;;;opt1;0;;any;0;WEB;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;0;DMZ,Free;;;;;"DMZ -> Internet"
a934cc1c-eed2-43fa-9f97-9efcb951450f;1;keep;;1153;block;1;0;opt1;in;inet;any;;;opt1;0;;lan;0;;;;;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;0;Blocked,DMZ;;;;;"DMZ X Management"
